0.0,1250.3334
10.0,1945.6666
20.0,1926.3334
30.0,3432.0
40.0,3831.3333
50.0,3661.3333
60.0,4179.3335
70.0,4441.3335
80.0,3605.3333
90.0,4464.3335
100.0,4504.3335
110.0,5728.3335
120.0,5657.6665
130.0,4956.3335
140.0,5574.6665
150.0,5618.6665
160.0,6234.6665
170.0,5911.6665
180.0,6021.0
190.0,5308.0
200.0,7021.6665
210.0,5982.6665
220.0,6631.3335
230.0,6361.3335
240.0,6070.0
250.0,6783.0
260.0,6242.0
270.0,6614.0
280.0,6856.3335
290.0,6860.3335
300.0,5968.3335
310.0,7075.6665
320.0,6552.0
330.0,7478.6665
340.0,6556.0
350.0,7082.0
360.0,7117.0
370.0,7226.0
380.0,7280.6665
390.0,6667.6665
400.0,7432.3335
410.0,6987.3335
420.0,7567.6665
430.0,7482.6665
440.0,7913.3335
450.0,6734.0
460.0,7757.3335
470.0,7882.6665
480.0,7879.6665
490.0,7723.6665
500.0,7940.3335
510.0,7065.6665
520.0,8089.6665
530.0,6355.3335
540.0,7678.3335
550.0,8390.0
560.0,8020.0
570.0,7574.6665
580.0,7466.6665
590.0,7821.3335
600.0,870.0
