1.0,2041.0
1.0,1137.0
1.0,2013.0
3.0,2900.0
3.0,1877.0
3.0,2002.0
5.0,2537.0
5.0,3799.0
5.0,3971.0
7.0,4008.0
7.0,3495.0
7.0,3823.0
9.0,3603.0
9.0,3715.0
9.0,3916.0
11.0,5152.0
11.0,6200.0
11.0,5683.0
13.0,5473.0
13.0,4178.0
13.0,4903.0
15.0,5445.0
15.0,6645.0
15.0,4914.0
17.0,6603.0
17.0,5939.0
17.0,6114.0
19.0,5605.0
19.0,5650.0
19.0,6660.0
21.0,6396.0
21.0,6519.0
21.0,5752.0
23.0,6712.0
23.0,5867.0
23.0,6459.0
25.0,7255.0
25.0,6150.0
25.0,6352.0
27.0,7201.0
27.0,7265.0
27.0,6131.0
29.0,6226.0
29.0,5730.0
29.0,6468.0
